节点1实体类型,实体名称,关系类型,节点2实体名称,节点2实体类型,数据来源
预防措施及诊疗建议 ,筛查,建议适用,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
预防措施及诊疗建议 ,早期诊断,建议适用,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
预防措施及诊疗建议 ,饮食控制,建议适用,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
预防措施及诊疗建议 ,规律作息,建议适用,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
预防措施及诊疗建议 ,筛查,建议适用,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
预防措施及诊疗建议 ,口腔矫治器,建议适用,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
预防措施及诊疗建议 ,早期诊断,建议适用,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
预防措施及诊疗建议 ,减肥,建议适用,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
预防措施及诊疗建议 ,手术,建议适用,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
预防措施及诊疗建议 ,减重,建议适用,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
预防措施及诊疗建议 ,运动,建议适用,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
预防措施及诊疗建议 ,放松训练,建议适用,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
预防措施及诊疗建议 ,替代治疗,建议适用,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
预防措施及诊疗建议 ,运动,建议适用,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
预防措施及诊疗建议 ,药物治疗,建议适用,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
预防措施及诊疗建议 ,认知行为疗法,建议适用,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
预防措施及诊疗建议 ,减肥,建议适用,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
预防措施及诊疗建议 ,运动,建议适用,多发性硬化,疾病病种,儿童中枢性睡眠呼吸暂停56例临床分析
预防措施及诊疗建议 ,手术,建议适用,多发性硬化,疾病病种,儿童中枢性睡眠呼吸暂停56例临床分析
预防措施及诊疗建议 ,筛查,建议适用,孤独症谱系障碍,疾病病种,孤独症谱系障碍儿童睡眠障碍临床实践相关指南解读
预防措施及诊疗建议 ,药物治疗,建议适用,孤独症谱系障碍,疾病病种,孤独症谱系障碍儿童睡眠障碍临床实践相关指南解读
预防措施及诊疗建议 ,行为干预,建议适用,孤独症谱系障碍,疾病病种,孤独症谱系障碍儿童睡眠障碍临床实践相关指南解读
预防措施及诊疗建议 ,改善睡眠习惯,建议适用,孤独症谱系障碍,疾病病种,孤独症谱系障碍儿童睡眠障碍临床实践相关指南解读
预防措施及诊疗建议 ,认知行为疗法,建议适用,孤独症谱系障碍,疾病病种,孤独症谱系障碍儿童睡眠障碍临床实践相关指南解读
预防措施及诊疗建议 ,瑜伽,建议适用,孤独症谱系障碍,疾病病种,孤独症谱系障碍儿童睡眠障碍临床实践相关指南解读
预防措施及诊疗建议 ,替代治疗,建议适用,孤独症谱系障碍,疾病病种,孤独症谱系障碍儿童睡眠障碍临床实践相关指南解读
预防措施及诊疗建议 ,筛查,建议适用,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
预防措施及诊疗建议 ,心理治疗,建议适用,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
预防措施及诊疗建议 ,药物治疗,建议适用,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
预防措施及诊疗建议 ,运动,建议适用,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
预防措施及诊疗建议 ,瑜伽,建议适用,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
预防措施及诊疗建议 ,太极,建议适用,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
预防措施及诊疗建议 ,放松训练,建议适用,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
预防措施及诊疗建议 ,冥想,建议适用,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
预防措施及诊疗建议 ,音乐疗法,建议适用,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
预防措施及诊疗建议 ,苯二氮草类药物,建议适用,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
预防措施及诊疗建议 ,抗组胺药,建议适用,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
预防措施及诊疗建议 ,慎用镇静催眠药物,建议适用,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
预防措施及诊疗建议 ,药物治疗,建议适用,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
预防措施及诊疗建议 ,筛查,建议适用,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
预防措施及诊疗建议 ,认知行为疗法,建议适用,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
预防措施及诊疗建议 ,运动,建议适用,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
预防措施及诊疗建议 ,心理调节,建议适用,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
预防措施及诊疗建议 ,放松训练,建议适用,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
预防措施及诊疗建议 ,瑜伽,建议适用,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
预防措施及诊疗建议 ,精神分析疗法,建议适用,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
预防措施及诊疗建议 ,心理治疗,建议适用,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
预防措施及诊疗建议 ,筛查,建议适用,偏头痛,疾病病种,慢性偏头痛住院患者医疗质量评价与改进专家共识
预防措施及诊疗建议 ,运动,建议适用,偏头痛,疾病病种,慢性偏头痛住院患者医疗质量评价与改进专家共识
预防措施及诊疗建议 ,运动,建议适用,睡眠期周期性肢体运动,疾病病种,脑卒中伴睡眠期周期性肢体运动患者的睡眠结构研究
预防措施及诊疗建议 ,MHT,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,早期诊断,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,筛查,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,手术,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,运动,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,减重,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,减少乙醇摄入,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,饮食控制,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,口腔矫治器,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,慎用镇静催眠药物,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,行为干预,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,上气道手术治疗,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,舌下神经刺激治疗,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,心理疏导,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,抗组胺药,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,替代治疗,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,运动,建议适用,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,药物治疗,建议适用,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,筛查,建议适用,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,非苯二氮草类药物,建议适用,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,散步,建议适用,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,抗组胺药,建议适用,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,运动,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,苯二氮草类药物,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,改善睡眠习惯,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,筛查,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,抗组胺药,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,药物治疗,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,减重,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,口腔矫治器,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,手术,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,认知行为疗法,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,运动,建议适用,睡眠相关的节律性运动障碍,疾病病种,睡眠相关的节律性运动障碍
预防措施及诊疗建议 ,苯二氮草类药物,建议适用,睡眠相关的节律性运动障碍,疾病病种,睡眠相关的节律性运动障碍
预防措施及诊疗建议 ,氯硝西泮治疗,建议适用,睡眠相关的节律性运动障碍,疾病病种,睡眠相关的节律性运动障碍
预防措施及诊疗建议 ,行为干预,建议适用,睡眠相关的节律性运动障碍,疾病病种,睡眠相关的节律性运动障碍
预防措施及诊疗建议 ,氯硝西泮治疗,建议适用,睡眠相关的节律性运动障碍(SRMD),疾病病种,睡眠相关的节律性运动障碍的临床特点
预防措施及诊疗建议 ,药物治疗,建议适用,睡眠相关的节律性运动障碍(SRMD),疾病病种,睡眠相关的节律性运动障碍的临床特点
预防措施及诊疗建议 ,运动,建议适用,睡眠相关的节律性运动障碍(SRMD),疾病病种,睡眠相关的节律性运动障碍的临床特点
预防措施及诊疗建议 ,运动,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,抗组胺药,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,药物治疗,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,减重,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,手术,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,氟西汀,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,苯二氮草类药物,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,苯海拉明,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,普拉克索治疗,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,游泳,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,筛查,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,冥想,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,行为干预,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,阿米替林,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,太极,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,深呼吸,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,心理治疗,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,瑜伽,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,减肥,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,口腔矫治器,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,饮食控制,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
